prijmeni	jmeno	strana	id	from	dily
Benda	Petr	ČSSD	id_0033	id_0626	2
Bernášek	Miroslav	ODS	id_0041	id_0630	2
Bohatec	Pavel	ODS	id_0055	id_0656	2
Dienstbier	Jiří	ČSSD	id_0108	id_0482	3
Holeček	Petr	TOP09	id_0198	id_0241	2
Šlajs	Václav	ČSSD	id_0625	id_0131	3
Jakubčík	Igor	ČSSD	id_0231	id_0625	3
Kalábková	Gabriela	ČSSD	id_0258	id_0330	2
Mečíř	Martin	ODS	id_0402	id_0206	3
Kochan	Jozef	ODS	id_0289	id_0402	3
Koubík	Václav	ČSSD	id_0312	id_0359	2
Kubata	Jan	ODS	id_0331	id_0157	2
Pekárek	Roman	ODS	id_0485	id_0154	2
Petr	Břetislav	ČSSD	id_0495	id_0233	2
Petráň	Miroslav	VV	id_0496	id_0153	2
Strnadlová	Miroslava	ČSSD	id_0591	id_0624	2
Svoboda	Miroslav	ČSSD	id_0601	id_0108	3
Zgarba	Petr	ČSSD	id_0750	id_0072	2